Rank,Product Name,Product URL,Image URL,Price,MRP,Discount,Rating,Rating Count,Delivery Time,Pack/Size,Max Quantity,Fetched Date,Fetched Time
1,Red Bull Energy Drink,https://www.zeptonow.com/pn/red-bull-energy-drink/pvid/6d6381a9-3992-4e77-84b8-0d5200d6e92a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/1a7c5ae4-58ca-4b92-afc5-9931f75c6319.jpeg",₹124,₹125,₹1 Off,4.7,(9.2k),9 mins,250 ml,17,2025-07-12,10:14:47
2,Pepsi Soft Drink,https://www.zeptonow.com/pn/pepsi-soft-drink/pvid/7809c74d-5d4b-4e1b-a29f-621c17765d09,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4c8b713f-1622-482d-91a8-50ee4f1f6a52.jpeg",₹40,,,4.7,(10.5k),9 mins,750 ml,24,2025-07-12,10:14:47
3,Diet Coke Cola Diet Soft Drink Can,https://www.zeptonow.com/pn/diet-coke-cola-diet-soft-drink-can/pvid/26d064b9-25df-44a4-811b-cba9146cfd3b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/221420f0-e673-419e-9fb1-acb974557e66.jpeg",₹40,,,4.7,(8.9k),9 mins,300 ml,12,2025-07-12,10:14:47
4,Sprite Lemon and Lime Soft Drink,https://www.zeptonow.com/pn/sprite-lemon-and-lime-soft-drink/pvid/f5df501b-ba7d-49ef-91b9-bc5c79c51dd8,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/2fb0b791-ee38-4341-9494-1dfe361acb5f.jpg",₹40,,,4.7,(21.8k),9 mins,750 ml,24,2025-07-12,10:14:47
5,Storia Tender Coconut Water,https://www.zeptonow.com/pn/storia-tender-coconut-water/pvid/7f630712-149f-46c9-b52f-4b2c09e3d27d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/40e0a528-75c0-45e5-ab98-255fc62ef2b8.jpeg",₹98,₹178,₹80 Off,4.7,(1.8k),9 mins,1 L,6,2025-07-12,10:14:47
6,Amul Masti Spiced Buttermilk,https://www.zeptonow.com/pn/amul-masti-spiced-buttermilk/pvid/a8fc94dd-57fc-40a4-a9fe-f21c3a358521,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/3914b79d-2e1a-4422-887a-513ecacf7196.jpeg",₹15,,,4.7,(12.0k),9 mins,200 ml,16,2025-07-12,10:14:47
7,HELL Energy Drink,https://www.zeptonow.com/pn/hell-energy-drink/pvid/a9c51005-3987-4f7a-88cd-384f30116910,"https://cdn.zeptonow.com/production/tr:w-1280,ar-900-900,pr-true,f-auto,q-80/cms/product_variant/b1be6d21-e5a6-4bf4-9d12-3b8caf4ca8f1.jpeg",₹60,,,4.7,(18.7k),9 mins,250 ml,24,2025-07-12,10:14:47
8,Coolberg Cranberry Non Alcoholic Beer,https://www.zeptonow.com/pn/coolberg-cranberry-non-alcoholic-beer/pvid/8a87485a-019f-4108-8a58-b83b28c7a819,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2084-2084,pr-true,f-auto,q-80/cms/product_variant/73d169ca-cc6f-4eec-ba4d-f231ba83b6e8.jpeg",₹92,₹99,₹7 Off,4.7,(1.8k),9 mins,330 ml,11,2025-07-12,10:14:47
9,Jimmy's Sex on the beach Cocktail Mixer,https://www.zeptonow.com/pn/jimmys-sex-on-the-beach-cocktail-mixer/pvid/65706353-e461-4386-b0f0-c7c66abb1cce,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/ca2189b4-4ef6-4f90-aa60-b9fb57ef3413.jpeg",₹59,₹120,₹61 Off,4.8,(336),9 mins,250 ml,3,2025-07-12,10:14:47
10,Sepoy & Co. Classic Lemonade,https://www.zeptonow.com/pn/sepoy-co-classic-lemonade/pvid/9b088b7d-c3c9-428d-b2be-8eba9df2f10a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/ba156814-f7f7-481a-9dcc-9afc6d8498d8.jpeg",₹102,₹110,₹8 Off,4.8,(93),9 mins,200 ml,2,2025-07-12,10:14:47
11,Frooti Mango Fruit Juice,https://www.zeptonow.com/pn/frooti-mango-fruit-juice/pvid/80c00d69-d2b9-45f6-aac9-2771dc94683f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/b0bddcaf-3fa6-43b2-bd6d-8eceebbb9e37.jpeg",₹91,₹100,₹9 Off,4.7,(6.7k),9 mins,1.8 L,12,2025-07-12,10:14:47
12,Maaza Mango Fruit Juice,https://www.zeptonow.com/pn/maaza-mango-fruit-juice/pvid/8d9983c5-593c-42ed-8bee-33314f213021,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4efbd48b-371b-4daf-9bdf-fd0d884dd8fb.jpeg",₹40,,,4.6,(15.8k),9 mins,600 ml,24,2025-07-12,10:14:47
13,Thums Up Soft Drink,https://www.zeptonow.com/pn/thums-up-soft-drink/pvid/7e9d72bc-98ea-4d0c-9147-c886c6a453ef,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/acdceef2-3ec0-4d89-b7e2-0ea08e69faf5.jpeg",₹40,,,4.7,(48.1k),9 mins,750 ml,24,2025-07-12,10:14:47
14,Coca Cola Soft Drink,https://www.zeptonow.com/pn/coca-cola-soft-drink/pvid/fed97af4-b3bb-44b4-9390-d2748ce7cdc1,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/e8143a5e-6cc5-45ce-ab5f-a60754dc087d.jpeg",₹40,,,4.7,(23.4k),9 mins,750 ml,24,2025-07-12,10:14:47
15,Limca Lemon Soft Drink,https://www.zeptonow.com/pn/limca-lemon-soft-drink/pvid/a50b84a1-9814-465f-8b26-8799e1c0d136,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d0cce1c4-3b6a-421a-a433-b088aabf907a.jpeg",₹40,,,4.8,(7.0k),9 mins,750 ml,12,2025-07-12,10:14:47
16,Mountain Dew Citrus Soft Drink,https://www.zeptonow.com/pn/mountain-dew-citrus-soft-drink/pvid/cfb0f907-1d93-4196-89c6-80a9439c8a75,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/c48f86ee-18d9-418b-91d3-66bc0617ce02.jpeg",₹40,,,4.7,(5.7k),9 mins,750 ml,8,2025-07-12,10:14:47
17,Dabur Real Fruit Power Masala Mixed Fruit Juice,https://www.zeptonow.com/pn/dabur-real-fruit-power-masala-mixed-fruit-juice/pvid/f470d884-1efa-4e31-a099-108799f90112,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/32d2cb81-ba7e-4e32-aec4-2036352013ab.jpeg",₹75,₹150,₹75 Off,4.6,(6.4k),9 mins,1 L,24,2025-07-12,10:14:47
